CATÉGORIE,CONCEPT,CONSONANT,A (NÉGATIF),E (NEUTRE),I (POSITIF),EXEMPLES
APPÉTIT,HUNGER,H,"HA = nausée, écœurement","HE = satiété, rassasié","HI = faim, affamé",nausée-satiété-faim | écœurement-rassasié-affamé
ATTRACTION,DESIRE,D,"DA = dégoût, répulsion","DE = neutre, indifférent","DI = désir, attraction",dégoût-neutre-désir | répulsion-indifférence-attraction
BRUIT,SOUND,N,"NA = silence, muet","NE = calme, discret","NI = bruyant, tonitruant",silence-calme-bruyant | muet-discret-tonitruant
CHALEUR,TEMPERATURE,C,"CA = froid, glacé","CE = tiède, tempéré","CI = chaud, brûlant",froid-tiède-chaud | glacé-tempéré-brûlant
DENSITÉ,DENSITY,B,"BA = vide, creux","BE = normal, standard","BI = dense, compact",vide-normal-dense | creux-standard-compact
DIFFICULTÉ,COMPLEXITY,W,"WA = simple, basique","WE = normal, standard","WI = complexe, sophistiqué",simple-normal-complexe | basique-standard-sophistiqué
DIMENSION,SIZE,Z,"ZA = petit, minuscule","ZE = normal, moyen","ZI = grand, énorme",petit-moyen-grand | minuscule-normal-énorme
LUMINOSITÉ,LIGHT,L,"LA = sombre, obscur","LE = pénombre, gris","LI = lumineux, éclatant",sombre-pénombre-lumineux | obscur-gris-éclatant
MOUVEMENT,MOTION,M,"MA = recule, régresse","ME = immobile, statique","MI = avance, progresse",recule-immobile-avance | régresse-statique-progresse
POIDS,WEIGHT,P,"PA = léger, plume","PE = normal, standard","PI = lourd, massif",léger-normal-lourd | plume-standard-massif
PRÉSENCE,EXIST,S,"SA = absent, vide, manque","SE = neutre, présent","SI = plein, abondant",absent-présent-plein | vide-neutre-plein
QUALITÉ,QUALITY,Q,"QA = mauvais, défaillant","QE = moyen, acceptable","QI = excellent, parfait",mauvais-moyen-excellent | défaillant-acceptable-parfait
RELATION,RELATE,R,"RA = isolé, séparé","RE = normal, distant","RI = rassemblé, uni",isolé-distant-rassemblé | séparé-normal-uni
SANTÉ,HEALTH,F,"FA = malade, souffrant","FE = normal, stable","FI = sain, vigoureux",malade-normal-sain | souffrant-stable-vigoureux
SENTIMENT,EMOTION,J,"JA = triste, malheureux","JE = calme, paisible","JI = joyeux, extatique",triste-calme-joyeux | malheureux-paisible-extatique
TEMPS,AGE,G,"GA = jeune, nouveau","GE = mûr, adulte","GI = vieux, ancien",jeune-mûr-vieux | nouveau-adulte-ancien
TOUCHER,TEXTURE,X,"XA = rugueux, râpeux","XE = lisse, normal","XI = doux, soyeux",rugueux-lisse-doux | râpeux-normal-soyeux
VITALITÉ,ENERGY,K,"KA = fatigué, épuisé","KE = reposé, normal","KI = énergique, survitaminé",fatigué-reposé-énergique | épuisé-normal-survitaminé
VITESSE,SPEED,V,"VA = lent, traînant","VE = normal, modéré","VI = rapide, fulgurant",lent-normal-rapide | traînant-modéré-fulgurant
VÉRITÉ,TRUTH,T,"TA = faux, erreur","TE = inconnu, incertain","TI = vrai, certain",faux-inconnu-vrai | erreur-doute-certitude
